week,state,percent_positive,total_antigen_detection_tests,update_dts
2020-12-12,AL,0,13,2022-12-10-193826
2020-12-19,AL,6.667,13.333,2022-12-10-193826
2020-12-26,AL,17.083,12.667,2022-12-10-193826
2021-01-02,AL,26.887,16,2022-12-10-193826
2021-01-09,AL,20.221,12.667,2022-12-10-193826
2021-01-16,AL,9.804,9,2022-12-10-193826
2021-01-23,AL,0,4,2022-12-10-193826
2021-01-30,AL,0,4.333,2022-12-10-193826
2021-02-06,AL,3.03,6.333,2022-12-10-193826
2021-02-13,AL,3.03,8.667,2022-12-10-193826
2021-02-20,AL,6.734,9.667,2022-12-10-193826
2021-02-27,AL,3.704,6.667,2022-12-10-193826
2021-03-06,AL,14.815,5.667,2022-12-10-193826
2021-03-13,AL,11.111,3.333,2022-12-10-193826
2021-03-20,AL,13.675,7,2022-12-10-193826
2021-03-27,AL,19.231,7.667,2022-12-10-193826
2021-04-03,AL,21.795,11.333,2022-12-10-193826
2021-04-10,AL,39.601,13,2022-12-10-193826
2021-04-17,AL,31.268,19.667,2022-12-10-193826
2021-04-24,AL,35.95,23,2022-12-10-193826
2021-05-01,AL,26.691,22,2022-12-10-193826
2021-05-08,AL,26.357,21,2022-12-10-193826
2021-05-15,AL,22.444,26.667,2022-12-10-193826
2021-05-22,AL,20.529,31.333,2022-12-10-193826
2021-05-29,AL,21.818,43.333,2022-12-10-193826
2021-06-05,AL,30.866,41.667,2022-12-10-193826
2021-06-12,AL,29.363,45,2022-12-10-193826
2021-06-19,AL,28.237,41,2022-12-10-193826
2021-06-26,AL,27.394,46.667,2022-12-10-193826
2021-07-03,AL,26.368,48.667,2022-12-10-193826
2021-07-10,AL,27.372,45.667,2022-12-10-193826
2021-07-17,AL,22.976,42.333,2022-12-10-193826
2021-07-24,AL,17.067,42,2022-12-10-193826
2021-07-31,AL,11.965,42.333,2022-12-10-193826
2021-08-07,AL,4.823,36.333,2022-12-10-193826
2021-08-14,AL,8.509,36.667,2022-12-10-193826
2021-08-21,AL,5.635,41.667,2022-12-10-193826
2021-08-28,AL,7.763,49.333,2022-12-10-193826
2021-09-04,AL,3.318,36.333,2022-12-10-193826
2021-09-11,AL,4.905,25.667,2022-12-10-193826
2021-09-18,AL,3.758,21.333,2022-12-10-193826
2021-09-25,AL,7.604,28,2022-12-10-193826
2021-10-02,AL,7.604,28,2022-12-10-193826
2021-10-09,AL,10.47,25.333,2022-12-10-193826
2021-10-16,AL,9.402,24.667,2022-12-10-193826
2021-10-23,AL,9.85,27,2022-12-10-193826
2021-10-30,AL,6.761,33,2022-12-10-193826
2021-11-06,AL,4.838,38,2022-12-10-193826
2021-11-13,AL,3.2,41.667,2022-12-10-193826
2021-11-20,AL,3.2,41.667,2022-12-10-193826
2021-11-27,AL,3.438,49,2022-12-10-193826
2021-12-04,AL,1.85,51.667,2022-12-10-193826
2021-12-11,AL,3.279,57.333,2022-12-10-193826
2021-12-18,AL,3.852,57,2022-12-10-193826
2021-12-25,AL,4.427,59.667,2022-12-10-193826
2022-01-01,AL,2.241,51.667,2022-12-10-193826
2022-01-08,AL,1.686,41.667,2022-12-10-193826
2022-01-15,AL,1.111,31,2022-12-10-193826
2022-01-22,AL,2.778,25.333,2022-12-10-193826
2022-01-29,AL,1.667,20.333,2022-12-10-193826
2022-02-05,AL,1.667,17.333,2022-12-10-193826
2022-02-12,AL,0,16.667,2022-12-10-193826
2022-02-19,AL,0,22,2022-12-10-193826
2022-02-26,AL,0,21.667,2022-12-10-193826
2022-03-05,AL,0,25.333,2022-12-10-193826
2022-03-12,AL,0,21.667,2022-12-10-193826
2022-03-19,AL,0,21.667,2022-12-10-193826
2022-03-26,AL,0,15.667,2022-12-10-193826
2022-04-02,AL,0,14,2022-12-10-193826
2022-04-09,AL,0,13.333,2022-12-10-193826
2022-04-16,AL,0,15.333,2022-12-10-193826
2022-04-23,AL,0,14,2022-12-10-193826
2022-04-30,AL,1.667,16,2022-12-10-193826
2022-05-07,AL,3.627,21.667,2022-12-10-193826
2022-05-14,AL,6.658,21.667,2022-12-10-193826
2022-05-21,AL,6.066,25.333,2022-12-10-193826
2022-05-28,AL,9.853,23.667,2022-12-10-193826
2022-06-04,AL,11.822,26.667,2022-12-10-193826
2022-06-11,AL,13.646,24,2022-12-10-193826
2022-06-18,AL,13.781,20,2022-12-10-193826
2022-06-25,AL,11.502,29.667,2022-12-10-193826
2022-07-02,AL,10.826,27,2022-12-10-193826
2022-07-09,AL,6.531,28.333,2022-12-10-193826
2022-07-16,AL,5.198,20,2022-12-10-193826
2022-07-23,AL,15.675,22,2022-12-10-193826
2022-07-30,AL,23.964,24,2022-12-10-193826
2022-08-06,AL,37.853,24,2022-12-10-193826
2022-08-13,AL,39.043,29,2022-12-10-193826
2022-08-20,AL,41.288,34.667,2022-12-10-193826
2022-08-27,AL,36.056,51,2022-12-10-193826
2022-09-03,AL,30.939,51.667,2022-12-10-193826
2022-09-10,AL,26.064,52.333,2022-12-10-193826
2022-09-17,AL,22.079,42.667,2022-12-10-193826
2022-09-24,AL,21.099,55.667,2022-12-10-193826
2022-10-01,AL,16.816,55.333,2022-12-10-193826
2022-10-08,AL,13.96,58,2022-12-10-193826
2022-10-15,AL,9.447,52.667,2022-12-10-193826
2022-10-22,AL,6.838,69,2022-12-10-193826
2022-10-29,AL,3.633,93.667,2022-12-10-193826
2022-11-05,AL,0.681,107.333,2022-12-10-193826
2022-11-12,AL,1.716,100,2022-12-10-193826
2022-11-19,AL,2.179,82,2022-12-10-193826
2022-11-26,AL,4.002,68.667,2022-12-10-193826
2022-12-03,AL,3.92,67,2022-12-10-193826
2020-12-12,AZ,0,0,2022-12-10-193826
2020-12-19,AZ,0,0,2022-12-10-193826
2020-12-26,AZ,0,0,2022-12-10-193826
2021-01-02,AZ,0,0,2022-12-10-193826
2021-01-09,AZ,0,0,2022-12-10-193826
2021-01-16,AZ,0,0,2022-12-10-193826
2021-01-23,AZ,0,0,2022-12-10-193826
2021-01-30,AZ,0,0,2022-12-10-193826
2021-02-06,AZ,0,0,2022-12-10-193826
2021-02-13,AZ,0,0,2022-12-10-193826
2021-02-20,AZ,0,0,2022-12-10-193826
2021-02-27,AZ,0,0,2022-12-10-193826
2021-03-06,AZ,0,0,2022-12-10-193826
2021-03-13,AZ,0,0,2022-12-10-193826
2021-03-20,AZ,0,0,2022-12-10-193826
2021-03-27,AZ,0,0,2022-12-10-193826
2021-04-03,AZ,0,0,2022-12-10-193826
2021-04-10,AZ,0,0,2022-12-10-193826
2021-04-17,AZ,0,0,2022-12-10-193826
2021-04-24,AZ,0,0,2022-12-10-193826
