week,state,percent_positive,total_pcr_tests,update_dts
2020-12-19,AL,0,92,2022-12-19-121529
2020-12-26,AL,0,83,2022-12-19-121529
2021-01-02,AL,0,85.333,2022-12-19-121529
2021-01-09,AL,0,84.667,2022-12-19-121529
2021-01-16,AL,0.383,89,2022-12-19-121529
2021-01-23,AL,0.73,85.667,2022-12-19-121529
2021-01-30,AL,0.73,87,2022-12-19-121529
2021-02-06,AL,0.347,88,2022-12-19-121529
2021-02-13,AL,0,79,2022-12-19-121529
2021-02-20,AL,0,77.667,2022-12-19-121529
2021-02-27,AL,0.37,77.667,2022-12-19-121529
2021-03-06,AL,0.37,82.667,2022-12-19-121529
2021-03-13,AL,2.275,81.333,2022-12-19-121529
2021-03-20,AL,2.338,77,2022-12-19-121529
2021-03-27,AL,3.787,72,2022-12-19-121529
2021-04-03,AL,2.304,75,2022-12-19-121529
2021-04-10,AL,2.238,79.667,2022-12-19-121529
2021-04-17,AL,2.615,81,2022-12-19-121529
2021-04-24,AL,4.729,85.333,2022-12-19-121529
2021-05-01,AL,6.832,91,2022-12-19-121529
2021-05-08,AL,8.13,98.667,2022-12-19-121529
2021-05-15,AL,9.271,113.333,2022-12-19-121529
2021-05-22,AL,11.094,121.333,2022-12-19-121529
2021-05-29,AL,14.052,135,2022-12-19-121529
2021-06-05,AL,17.605,145,2022-12-19-121529
2021-06-12,AL,20.065,152,2022-12-19-121529
2021-06-19,AL,19.155,145,2022-12-19-121529
2021-06-26,AL,17.189,121.333,2022-12-19-121529
2021-07-03,AL,12.586,111.667,2022-12-19-121529
2021-07-10,AL,7.655,119,2022-12-19-121529
2021-07-17,AL,3.382,121,2022-12-19-121529
2021-07-24,AL,1.956,141,2022-12-19-121529
2021-07-31,AL,3.069,201.667,2022-12-19-121529
2021-08-07,AL,4.223,225,2022-12-19-121529
2021-08-14,AL,3.857,194.667,2022-12-19-121529
2021-08-21,AL,3.221,196.333,2022-12-19-121529
2021-08-28,AL,1.786,170.667,2022-12-19-121529
2021-09-04,AL,2.056,157.333,2022-12-19-121529
2021-09-11,AL,2.328,82.667,2022-12-19-121529
2021-09-18,AL,2.452,64.667,2022-12-19-121529
2021-09-25,AL,2.587,90.667,2022-12-19-121529
2021-10-02,AL,1.955,88,2022-12-19-121529
2021-10-09,AL,1.492,104.667,2022-12-19-121529
2021-10-16,AL,1.14,88,2022-12-19-121529
2021-10-23,AL,1.156,86.667,2022-12-19-121529
2021-10-30,AL,0.786,85,2022-12-19-121529
2021-11-06,AL,1.016,75.333,2022-12-19-121529
2021-11-13,AL,2.123,60.667,2022-12-19-121529
2021-11-20,AL,2.123,47,2022-12-19-121529
2021-11-27,AL,2.507,51.333,2022-12-19-121529
2021-12-04,AL,2.386,52.667,2022-12-19-121529
2021-12-11,AL,3.053,54.667,2022-12-19-121529
2021-12-18,AL,3.138,43,2022-12-19-121529
2021-12-25,AL,1.95,91,2022-12-19-121529
2022-01-01,AL,1.439,217.333,2022-12-19-121529
2022-01-08,AL,0.328,307,2022-12-19-121529
2022-01-15,AL,0.155,256,2022-12-19-121529
2022-01-22,AL,1.042,123.667,2022-12-19-121529
2022-01-29,AL,3.002,29.667,2022-12-19-121529
2022-02-05,AL,3.002,30.333,2022-12-19-121529
2022-02-12,AL,2.199,66.333,2022-12-19-121529
2022-02-19,AL,2.246,88.333,2022-12-19-121529
2022-02-26,AL,2.926,107,2022-12-19-121529
2022-03-05,AL,4.138,106.333,2022-12-19-121529
2022-03-12,AL,2.484,110,2022-12-19-121529
2022-03-19,AL,2.162,108.333,2022-12-19-121529
2022-03-26,AL,0.713,83.667,2022-12-19-121529
2022-04-02,AL,0.358,70.667,2022-12-19-121529
2022-04-09,AL,0,54,2022-12-19-121529
2022-04-16,AL,0,48.667,2022-12-19-121529
2022-04-23,AL,0.617,48.333,2022-12-19-121529
