week,state,antigen_detections,pcr_detections,update_dts
2021-10-02,AL,2.2,1.8,2023-09-30-193925
2021-10-09,AL,2.2,1.4,2023-09-30-193925
2021-10-16,AL,2.6,1.4,2023-09-30-193925
2021-10-23,AL,2.2,0.8,2023-09-30-193925
2021-10-30,AL,2,0.8,2023-09-30-193925
2021-11-06,AL,1.8,1,2023-09-30-193925
2021-11-13,AL,1.6,0.8,2023-09-30-193925
2021-11-20,AL,1.4,1,2023-09-30-193925
2021-11-27,AL,1.2,1.4,2023-09-30-193925
2021-12-04,AL,1.8,1.4,2023-09-30-193925
2021-12-11,AL,2,1.2,2023-09-30-193925
2021-12-18,AL,2,1.4,2023-09-30-193925
2021-12-25,AL,1.6,1.4,2023-09-30-193925
2022-01-01,AL,1.8,1,2023-09-30-193925
2022-01-08,AL,1,0.8,2023-09-30-193925
2022-01-15,AL,0.6,0.8,2023-09-30-193925
2022-01-22,AL,0.4,0.8,2023-09-30-193925
2022-01-29,AL,0.4,0.4,2023-09-30-193925
2022-02-05,AL,0.2,0.6,2023-09-30-193925
2022-02-12,AL,0.2,1.6,2023-09-30-193925
2022-02-19,AL,0,1.8,2023-09-30-193925
2022-02-26,AL,0,2.8,2023-09-30-193925
2022-03-05,AL,0,3,2023-09-30-193925
2022-03-12,AL,0,3,2023-09-30-193925
2022-03-19,AL,0,2,2023-09-30-193925
2022-03-26,AL,0,1.6,2023-09-30-193925
2022-04-02,AL,0,0.4,2023-09-30-193925
2022-04-09,AL,0,0.2,2023-09-30-193925
2022-04-16,AL,0,0.2,2023-09-30-193925
2022-04-23,AL,0.2,0.2,2023-09-30-193925
2022-04-30,AL,0.6,0.4,2023-09-30-193925
2022-05-07,AL,0.8,1.2,2023-09-30-193925
2022-05-14,AL,1,1.8,2023-09-30-193925
2022-05-21,AL,2,1.6,2023-09-30-193925
2022-05-28,AL,2.4,1.8,2023-09-30-193925
2022-06-04,AL,2.4,2,2023-09-30-193925
2022-06-11,AL,2.8,1.6,2023-09-30-193925
2022-06-18,AL,3.4,1,2023-09-30-193925
2022-06-25,AL,2.6,1.4,2023-09-30-193925
2022-07-02,AL,2.2,1.8,2023-09-30-193925
2022-07-09,AL,2,1.4,2023-09-30-193925
2022-07-16,AL,3,1.6,2023-09-30-193925
2022-07-23,AL,3.8,1.6,2023-09-30-193925
2022-07-30,AL,5.8,1.6,2023-09-30-193925
2022-08-06,AL,8.6,1.4,2023-09-30-193925
2022-08-13,AL,11.6,2.2,2023-09-30-193925
2022-08-20,AL,14.4,2,2023-09-30-193925
2022-08-27,AL,14.8,3,2023-09-30-193925
2022-09-03,AL,14.6,3,2023-09-30-193925
2022-09-10,AL,13.2,3,2023-09-30-193925
2022-09-17,AL,13.6,2.6,2023-09-30-193925
2022-09-24,AL,10,2.2,2023-09-30-193925
2022-10-01,AL,9,1.4,2023-09-30-193925
2022-10-08,AL,8.2,1.4,2023-09-30-193925
2022-10-15,AL,6.8,1.2,2023-09-30-193925
2022-10-22,AL,3.2,1,2023-09-30-193925
2022-10-29,AL,2.6,1.2,2023-09-30-193925
2022-11-05,AL,2.2,1.2,2023-09-30-193925
2022-11-12,AL,1.2,1.2,2023-09-30-193925
2022-11-19,AL,1.8,2,2023-09-30-193925
2022-11-26,AL,2.6,2.2,2023-09-30-193925
2022-12-03,AL,2.6,2.4,2023-09-30-193925
2022-12-10,AL,2.4,2.2,2023-09-30-193925
2022-12-17,AL,2.2,2,2023-09-30-193925
2022-12-24,AL,1.4,1,2023-09-30-193925
2022-12-31,AL,0.6,0.6,2023-09-30-193925
2023-01-07,AL,0.6,0.2,2023-09-30-193925
2023-01-14,AL,0.8,0.2,2023-09-30-193925
2023-01-21,AL,1,0,2023-09-30-193925
2023-01-28,AL,1.2,0.2,2023-09-30-193925
2023-02-04,AL,1.2,0.2,2023-09-30-193925
2023-02-11,AL,1,0.4,2023-09-30-193925
2023-02-18,AL,0.4,0.4,2023-09-30-193925
2023-02-25,AL,0.2,0.4,2023-09-30-193925
2023-03-04,AL,0,0.2,2023-09-30-193925
2023-03-11,AL,0.2,0.4,2023-09-30-193925
2023-03-18,AL,0.4,0.2,2023-09-30-193925
2023-03-25,AL,0.6,0.2,2023-09-30-193925
2023-04-01,AL,0.8,0.4,2023-09-30-193925
2023-04-08,AL,0.8,0.4,2023-09-30-193925
2023-04-15,AL,0.6,0.2,2023-09-30-193925
2023-04-22,AL,0.6,0.2,2023-09-30-193925
2023-04-29,AL,0.4,0.2,2023-09-30-193925
2023-05-06,AL,0.2,0,2023-09-30-193925
2023-05-13,AL,0.2,0,2023-09-30-193925
2023-05-20,AL,0.2,0,2023-09-30-193925
2023-05-27,AL,0.6,0,2023-09-30-193925
2023-06-03,AL,0.8,0,2023-09-30-193925
2023-06-10,AL,1,0,2023-09-30-193925
2023-06-17,AL,1.2,0,2023-09-30-193925
2023-06-24,AL,1.2,0,2023-09-30-193925
2023-07-01,AL,0.8,0,2023-09-30-193925
2023-07-08,AL,0.8,0.2,2023-09-30-193925
2023-07-15,AL,0.6,0.2,2023-09-30-193925
2023-07-22,AL,0.8,0.2,2023-09-30-193925
2023-07-29,AL,1.2,0.2,2023-09-30-193925
2023-08-05,AL,1.2,0.2,2023-09-30-193925
2023-08-12,AL,1.2,0,2023-09-30-193925
2023-08-19,AL,1.4,0.2,2023-09-30-193925
2023-08-26,AL,1.4,0.2,2023-09-30-193925
2023-09-02,AL,1.6,0.2,2023-09-30-193925
2023-09-09,AL,2.4,0.25,2023-09-30-193925
2023-09-16,AL,2.75,0.333,2023-09-30-193925
2023-09-23,AL,3.333,0,2023-09-30-193925
2021-10-02,AZ,0,96,2023-09-30-193925
2021-10-09,AZ,0,79.6,2023-09-30-193925
2021-10-16,AZ,0,67.6,2023-09-30-193925
2021-10-23,AZ,0,61,2023-09-30-193925
2021-10-30,AZ,0,53.8,2023-09-30-193925
2021-11-06,AZ,0,48.4,2023-09-30-193925
2021-11-13,AZ,0,50.2,2023-09-30-193925
2021-11-20,AZ,0,47.4,2023-09-30-193925
2021-11-27,AZ,0,45.2,2023-09-30-193925
2021-12-04,AZ,0,44.6,2023-09-30-193925
2021-12-11,AZ,0,47.8,2023-09-30-193925
2021-12-18,AZ,0,52.4,2023-09-30-193925
2021-12-25,AZ,0,59,2023-09-30-193925
2022-01-01,AZ,0,55.6,2023-09-30-193925
2022-01-08,AZ,0,52.8,2023-09-30-193925
2022-01-15,AZ,0,46.4,2023-09-30-193925
2022-01-22,AZ,0,35.8,2023-09-30-193925
2022-01-29,AZ,0,24.4,2023-09-30-193925
2022-02-05,AZ,0,22,2023-09-30-193925
2022-02-12,AZ,0,17.6,2023-09-30-193925
2022-02-19,AZ,0,14.6,2023-09-30-193925
2022-02-26,AZ,0,13.2,2023-09-30-193925
2022-03-05,AZ,0,11,2023-09-30-193925
2022-03-12,AZ,0,9.8,2023-09-30-193925
2022-03-19,AZ,0,10,2023-09-30-193925
2022-03-26,AZ,0,10.2,2023-09-30-193925
2022-04-02,AZ,0,8.4,2023-09-30-193925
2022-04-09,AZ,0,7.4,2023-09-30-193925
2022-04-16,AZ,0,7.4,2023-09-30-193925
2022-04-23,AZ,0,5.4,2023-09-30-193925
2022-04-30,AZ,0,5.4,2023-09-30-193925
