week,state,update_dts,percent_positive,total_pcr_tests,antigen_detections,pcr_detections,epi_week,epi_year
2020-10-24,AL,2022-10-25,0,86.667,0.4,0.2,43,2020
2020-10-24,AR,2022-10-25,0.358,87.333,0,0.4,43,2020
2020-10-24,AZ,2022-10-25,0,144,0,0,43,2020
2020-10-24,CA,2022-10-25,0.067,463,0.6,0.2,43,2020
2020-10-24,CO,2022-10-25,0.036,1455.667,0,0.8,43,2020
2020-10-24,CT,2022-10-25,0,154.333,0,0,43,2020
2020-10-24,DE,2022-10-25,0,0,0,0,43,2020
2020-10-24,GA,2022-10-25,0,461.333,0,0,43,2020
2020-10-24,HI,2022-10-25,0,24.667,0,0,43,2020
2020-10-24,IA,2022-10-25,0,452.667,0.2,0.2,43,2020
2020-10-24,ID,2022-10-25,0,24.667,0,0,43,2020
2020-10-24,IL,2022-10-25,0,51,0.2,0,43,2020
2020-10-24,IN,2022-10-25,0,240.667,0,0.2,43,2020
2020-10-24,KS,2022-10-25,0,35.667,0,0,43,2020
2020-10-24,KY,2022-10-25,0.115,277.667,0,0.2,43,2020
2020-10-24,LA,2022-10-25,0.505,86,0,0.2,43,2020
2020-10-24,MA,2022-10-25,0,218.333,0,0,43,2020
2020-10-24,MD,2022-10-25,0.171,165,0,0.2,43,2020
2020-10-24,ME,2022-10-25,0,0,0,0,43,2020
2020-10-24,MI,2022-10-25,0.067,468,0,0.8,43,2020
2020-10-24,MN,2022-10-25,0,234.333,0,0,43,2020
2020-10-24,MO,2022-10-25,0.254,254,0,0.4,43,2020
2020-10-24,MS,2022-10-25,0,0,0,0,43,2020
2020-10-24,MT,2022-10-25,0,106.333,0,0,43,2020
2020-10-24,NC,2022-10-25,0,68,0,0,43,2020
2020-10-24,ND,2022-10-25,0,0.667,0,0,43,2020
2020-10-24,NE,2022-10-25,0.076,374.667,0,0.6,43,2020
2020-10-24,NH,2022-10-25,0,0,0,0,43,2020
2020-10-24,NJ,2022-10-25,0.189,296.667,0,0.4,43,2020
2020-10-24,NM,2022-10-25,0,293.333,0,0,43,2020
2020-10-24,NV,2022-10-25,0,503.333,0,0,43,2020
2020-10-24,NY,2022-10-25,0.037,991.667,0,0.2,43,2020
2020-10-24,OH,2022-10-25,0.137,1211.667,0,2.2,43,2020
2020-10-24,OK,2022-10-25,0.379,161.667,0,0.4,43,2020
2020-10-24,OR,2022-10-25,0,418,0.2,0.2,43,2020
2020-10-24,PA,2022-10-25,0.236,276.333,0,0.6,43,2020
2020-10-24,RI,2022-10-25,0,0,0,0,43,2020
2020-10-24,SC,2022-10-25,0,66.667,0.4,0,43,2020
2020-10-24,SD,2022-10-25,0,89.333,0,0,43,2020
2020-10-24,TN,2022-10-25,0,10.667,0,0,43,2020
2020-10-24,TX,2022-10-25,0.116,1103,1.4,1.8,43,2020
2020-10-24,UT,2022-10-25,0.388,0,0,0,43,2020
2020-10-24,VA,2022-10-25,0,133.667,0.2,0,43,2020
2020-10-24,VT,2022-10-25,0.68,31.667,0,0.2,43,2020
2020-10-24,WA,2022-10-25,0,446.667,0.4,0.4,43,2020
2020-10-24,WI,2022-10-25,0.271,1117,0.4,2,43,2020
2020-10-24,WV,2022-10-25,0,96,0,0,43,2020
2020-10-24,WY,2022-10-25,0,0,0,0,43,2020
2020-10-31,AL,2022-10-25,0.417,83,0.2,0.2,44,2020
2020-10-31,AR,2022-10-25,0.358,88.667,0,0.2,44,2020
2020-10-31,AZ,2022-10-25,0,157.667,0,0,44,2020
2020-10-31,CA,2022-10-25,0.067,476,0.6,0.2,44,2020
2020-10-31,CO,2022-10-25,0.061,1946.333,0,0.8,44,2020
2020-10-31,CT,2022-10-25,0,213.667,0,0,44,2020
2020-10-31,DE,2022-10-25,0,0,0,0,44,2020
2020-10-31,GA,2022-10-25,0,459.333,0.2,0.4,44,2020
2020-10-31,HI,2022-10-25,0,22.333,0,0,44,2020
2020-10-31,IA,2022-10-25,0,598.667,0.2,0,44,2020
2020-10-31,ID,2022-10-25,0,38,0,0,44,2020
2020-10-31,IL,2022-10-25,0,48.333,0.2,0,44,2020
2020-10-31,IN,2022-10-25,0,288,0,0.2,44,2020
2020-10-31,KS,2022-10-25,0,41,0,0,44,2020
2020-10-31,KY,2022-10-25,0.115,300,0,0.2,44,2020
2020-10-31,LA,2022-10-25,0.505,76.667,0.2,0.2,44,2020
2020-10-31,MA,2022-10-25,0,227,0,0,44,2020
2020-10-31,MD,2022-10-25,0.171,196.333,0,0.2,44,2020
2020-10-31,ME,2022-10-25,0,0,0,0,44,2020
2020-10-31,MI,2022-10-25,0.175,526.667,0,0.8,44,2020
2020-10-31,MN,2022-10-25,0,242,0,0,44,2020
2020-10-31,MO,2022-10-25,0.254,275.333,0,0.4,44,2020
2020-10-31,MS,2022-10-25,0,0,0,0,44,2020
2020-10-31,MT,2022-10-25,0,106.333,0,0,44,2020
2020-10-31,NC,2022-10-25,0,84.667,0,0,44,2020
2020-10-31,ND,2022-10-25,0,1,0,0,44,2020
2020-10-31,NE,2022-10-25,0.076,367.667,0,0.4,44,2020
2020-10-31,NH,2022-10-25,0,0,0,0,44,2020
2020-10-31,NJ,2022-10-25,0.189,375.667,0,0.6,44,2020
2020-10-31,NM,2022-10-25,0,338,0,0,44,2020
2020-10-31,NV,2022-10-25,0,371.667,0,0,44,2020
2020-10-31,NY,2022-10-25,0,1047,0,0.2,44,2020
2020-10-31,OH,2022-10-25,0.169,1378,0.2,1.6,44,2020
2020-10-31,OK,2022-10-25,0,165,0,0.4,44,2020
2020-10-31,OR,2022-10-25,0,645.667,0.2,0,44,2020
2020-10-31,PA,2022-10-25,0.21,301.333,0,0.6,44,2020
2020-10-31,RI,2022-10-25,0,0,0,0,44,2020
2020-10-31,SC,2022-10-25,0,75.333,0.8,0,44,2020
2020-10-31,SD,2022-10-25,0,94.667,0,0,44,2020
2020-10-31,TN,2022-10-25,0,9.667,0,0,44,2020
2020-10-31,TX,2022-10-25,0.076,1158.667,1.8,2.6,44,2020
2020-10-31,UT,2022-10-25,0.206,0,0,0,44,2020
2020-10-31,VA,2022-10-25,0,124.333,0.2,0,44,2020
2020-10-31,VT,2022-10-25,0,19.667,0,0.2,44,2020
2020-10-31,WA,2022-10-25,0.067,474.667,0.6,0.2,44,2020
2020-10-31,WI,2022-10-25,0.207,1191.667,0.4,1.8,44,2020
2020-10-31,WV,2022-10-25,0,96.667,0,0,44,2020
2020-10-31,WY,2022-10-25,0,0,0,0,44,2020
2020-11-07,AL,2022-10-25,0.417,82.667,0.2,0.2,45,2020
2020-11-07,AR,2022-10-25,0.358,96.333,0,0.2,45,2020
2020-11-07,AZ,2022-10-25,0,159,0,0,45,2020
2020-11-07,CA,2022-10-25,0.067,728.667,0.6,0.2,45,2020
2020-11-07,CO,2022-10-25,0.061,2360.667,0,0.8,45,2020
2020-11-07,CT,2022-10-25,0,253.333,0,0,45,2020
2020-11-07,DE,2022-10-25,0,0,0,0,45,2020
2020-11-07,GA,2022-10-25,0.131,476.333,0.2,0.4,45,2020
2020-11-07,HI,2022-10-25,0,22.667,0,0,45,2020
2020-11-07,IA,2022-10-25,0,655.333,0.4,0,45,2020
2020-11-07,ID,2022-10-25,0,48.333,0,0,45,2020
2020-11-07,IL,2022-10-25,0,47,0.2,0,45,2020
2020-11-07,IN,2022-10-25,0.093,336.333,0,0.2,45,2020
2020-11-07,KS,2022-10-25,0,46,0,0,45,2020
2020-11-07,KY,2022-10-25,0,324.667,0,0.2,45,2020
2020-11-07,LA,2022-10-25,0.505,78.333,0.2,0.2,45,2020
2020-11-07,MA,2022-10-25,0,230.667,0,0.2,45,2020
2020-11-07,MD,2022-10-25,0.171,235.667,0,0.2,45,2020
2020-11-07,ME,2022-10-25,0,0,0,0,45,2020
2020-11-07,MI,2022-10-25,0.224,600,0.2,0.8,45,2020
2020-11-07,MN,2022-10-25,0,264.667,0,0,45,2020
2020-11-07,MO,2022-10-25,0.254,280.667,0,0.4,45,2020
2020-11-07,MS,2022-10-25,0,0,0,0,45,2020
2020-11-07,MT,2022-10-25,0,100,0,0,45,2020
2020-11-07,NC,2022-10-25,0,88,0,0,45,2020
2020-11-07,ND,2022-10-25,0,0.667,0,0,45,2020
2020-11-07,NE,2022-10-25,0.149,295.333,0,0.4,45,2020
2020-11-07,NH,2022-10-25,0,0,0,0,45,2020
2020-11-07,NJ,2022-10-25,0.245,479.333,0,0.6,45,2020
2020-11-07,NM,2022-10-25,0,321.333,0,0,45,2020
2020-11-07,NV,2022-10-25,0,402,0,0,45,2020
2020-11-07,NY,2022-10-25,0,1413.667,0,0,45,2020
2020-11-07,OH,2022-10-25,0.111,1456,0.2,1.6,45,2020
2020-11-07,OK,2022-10-25,0,348.667,0,0,45,2020
2020-11-07,OR,2022-10-25,0,1005.333,0.2,0,45,2020
2020-11-07,PA,2022-10-25,0.21,347.333,0,0.4,45,2020
2020-11-07,RI,2022-10-25,0,0,0,0,45,2020
2020-11-07,SC,2022-10-25,0,76,1.4,0,45,2020
2020-11-07,SD,2022-10-25,0,92.333,0,0,45,2020
2020-11-07,TN,2022-10-25,0,9,0,0,45,2020
2020-11-07,TX,2022-10-25,0.213,1287,1.8,2.8,45,2020
2020-11-07,UT,2022-10-25,0.405,0,0,0,45,2020
2020-11-07,VA,2022-10-25,0,121,0,0,45,2020
2020-11-07,VT,2022-10-25,0,11,0,0,45,2020
2020-11-07,WA,2022-10-25,0.067,515.333,0.6,0.2,45,2020
2020-11-07,WI,2022-10-25,0.152,1199.333,0.2,1.4,45,2020
2020-11-07,WV,2022-10-25,0,96.333,0,0,45,2020
